EventNumber DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle1_E DecayParticle1_pt DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_px DecayParticle2_py DecayParticle2_pz DecayParticle2_E DecayParticle2_pt
2615 b 0 4.18 -14.796 -4.212 -17.367 23.5743 15.3838 b 0 4.18 -40.004 -3.888 -65.333 76.82 40.1925
2616 b 0 4.18 28.014 -10.043 0.44 30.0552 29.7598 b 0 4.18 4.186 -81.257 21.56 84.2765 81.3648
2617 b 0 4.18 34.782 -16.9 1.134 38.9122 38.6704 b 0 4.18 17.918 -67.6 6.966 70.4046 69.9344
2618 b 0 4.18 -62.79 -2.16 -18.722 65.6904 62.8271 b 0 4.18 -26.91 -24.84 -66.378 75.9255 36.622
2619 b 0 4.18 -14.472 -10.849 -13.37 22.8773 18.087 b 0 4.18 -7.128 -46.251 -82.13 94.6191 46.797
2620 W+ 1 80.4 65.475 0.18 1.215 103.695 65.4753 W- 1 80.4 21.825 1.62 6.885 83.6093 21.885
2621 W+ 1 80.4 -31.023 2.368 -4.422 86.3235 31.1132 W- 1 80.4 -7.277 27.232 -35.778 92.4054 28.1875
2622 b 0 4.18 -60.03 4.535 -1.664 60.3689 60.2011 b 0 4.18 -8.97 86.165 -19.136 88.8174 86.6306
2623 b 0 4.18 -38.745 17.225 -4.332 42.8266 42.4014 b 0 4.18 -22.755 51.675 -31.768 64.9213 56.4632
2624 b 0 4.18 26.483 3.588 4.37 27.4006 26.725 b 0 4.18 10.817 56.212 14.63 59.231 57.2433
2625 b 0 4.18 -65.065 3.101 -0.452 65.2744 65.1389 b 0 4.18 -6.435 41.199 -22.148 47.4001 41.6985
2626 b 0 4.18 44.727 -19.44 -7.852 49.5736 48.769 b 0 4.18 42.973 -34.56 -52.548 76.2878 55.1459
2627 b 0 4.18 6.327 4.368 1.015 8.80982 7.68833 b 0 4.18 4.773 26.832 2.485 27.6837 27.2532
2628 b 0 4.18 23.548 13.702 -13.52 30.7004 27.2443 b 0 4.18 57.652 30.498 -20.28 68.4298 65.2218
2629 b 0 4.18 5.512 -8.514 4.81 11.9783 10.1425 b 0 4.18 15.688 -86.086 2.59 87.6418 87.5038
2630 Z 1 91.2 -24.418 -46.28 -17.328 106.563 52.3266 Z 1 91.2 -59.782 -42.72 -73.872 138.468 73.4771
2631 W+ 1 80.4 -52.36 -5.658 -5.49 96.2698 52.6648 W- 1 80.4 -9.24 -88.642 -55.51 132.243 89.1223
2632 Z 1 91.2 -38.48 33.83 -4.13 104.688 51.2365 Z 1 91.2 -35.52 65.67 -25.37 120.562 74.6607
2633 b 0 4.18 -49.776 -12.181 10.545 52.4852 51.2448 b 0 4.18 -23.424 -81.519 44.955 96.0857 84.8176
2634 b 0 4.18 -48.626 -9.21 -2.864 49.7492 49.4905 b 0 4.18 -10.674 -82.89 -32.936 89.9274 83.5744
2635 b 0 4.18 -39.672 -0.126 -0.71 39.8981 39.6722 b 0 4.18 -12.528 -0.774 -6.39 14.692 12.5519
2636 tau+ 0 1.77 -6.688 0.297 15.022 16.5412 6.69459 tau- 0 1.77 -8.512 0.803 36.778 37.8002 8.54979
2637 b 0 4.18 -36.531 -0.597 0 36.7742 36.5359 b 0 4.18 -0.368999 -59.103 10.1 60.1064 59.1042
2638 W+ 1 80.4 22.05 44.436 3.84 94.5498 49.6061 W- 1 80.4 22.95 52.164 72.96 122.618 56.9893
2639 tau+ 0 1.77 24.906 -27.804 -8.58 38.3422 37.3279 tau- 0 1.77 34.394 -71.496 -20.02 81.8447 79.3387
2640 b 0 4.18 4.86 -5.448 -0.22 8.41553 7.30071 b 0 4.18 0.54 -62.652 -10.78 63.7122 62.6543
2641 b 0 4.18 61.292 -2.815 -8.496 62.0829 61.3566 b 0 4.18 18.308 -53.485 -38.704 68.6389 56.5317
2642 b 0 4.18 -26.1 -31.14 0.74 40.8525 40.6314 b 0 4.18 -31.9 -38.06 6.66 50.2792 49.6606
2643 b 0 4.18 -6.678 3.572 3.978 9.52112 7.5733 b 0 4.18 -5.922 5.828 40.222 41.2834 8.30877
2644 b 0 4.18 51.578 -13.37 -1.208 53.4601 53.2827 b 0 4.18 11.322 -82.13 -28.992 87.9291 82.9067
2645 b 0 4.18 -9.744 21.984 24.728 34.7446 24.0467 b 0 4.18 -30.856 46.716 31.472 64.3618 55.9864
2646 b 0 4.18 0.087 9.009 1.176 10.0013 9.00942 b 0 4.18 0.013 72.891 57.624 93.0113 72.891
2647 b 0 4.18 -36.288 -13.356 0.925 38.9041 38.6678 b 0 4.18 -8.512 -60.844 91.575 110.354 61.4365
2648 b 0 4.18 0.204 0.665 0.048 4.23775 0.695587 b 0 4.18 9.996 0.035 1.552 10.9454 9.99606
2649 Z 1 91.2 18.565 14.745 5.19 94.374 23.7081 Z 1 91.2 4.935 83.555 81.31 148.103 83.7006
2650 W+ 1 80.4 5.28 0.546 -71.632 107.812 5.30816 W- 1 80.4 47.52 26.754 -9.768 97.6396 54.5337
2651 W+ 1 80.4 -34.155 -8.592 -10.452 88.3957 35.2191 W- 1 80.4 -41.745 -45.108 -16.348 102.512 61.4604
2652 b 0 4.18 60.648 -1.854 -1.026 60.8288 60.6763 b 0 4.18 19.152 -8.446 -16.074 26.7204 20.9317
2653 b 0 4.18 48.375 -15.41 1.936 50.9787 50.7702 b 0 4.18 16.125 -51.59 94.864 109.262 54.0513
2654 b 0 4.18 -24.393 -26.95 -2.085 36.6489 36.35 b 0 4.18 -27.507 -26.95 -67.415 77.7508 38.5089
2655 b 0 4.18 3.349 -9.438 -27.44 29.5079 10.0146 b 0 4.18 16.351 -63.162 -11.76 66.4271 65.2441
2656 b 0 4.18 -32.384 5.742 -0.934 33.1668 32.8891 b 0 4.18 -2.816 89.958 -45.766 101.056 90.0021
2657 b 0 4.18 -9.758 -16.353 -55.062 58.4118 19.0431 b 0 4.18 -59.942 -54.747 -32.338 87.4843 81.1805
2658 b 0 4.18 -39.96 -26.73 0.684 48.2621 48.0759 b 0 4.18 -15.54 -72.27 67.716 100.336 73.9219
2659 b 0 4.18 4.84 4.536 0.72 7.87348 6.63332 b 0 4.18 3.96 45.864 1.28 46.2417 46.0346
2660 b 0 4.18 -10.608 -23.322 -8.925 27.4513 25.6212 b 0 4.18 -16.592 -66.378 -16.575 70.5233 68.4203
2661 Z 1 91.2 54.648 -0.486 -5.725 106.475 54.6502 Z 1 91.2 21.252 -15.714 -17.175 96.4935 26.4306
2662 W+ 1 80.4 5.731 8.814 45.15 92.8074 10.5134 W- 1 80.4 46.369 13.786 45.15 104.129 48.375
2663 b 0 4.18 18.356 3.042 62.968 65.7924 18.6064 b 0 4.18 52.244 47.658 29.632 76.787 70.7158
2664 b 0 4.18 -41.3 2.139 -7.41 42.2214 41.3554 b 0 4.18 -28.7 69.161 -12.09 75.9643 74.8795
2665 b 0 4.18 22.939 -34.146 13.427 43.473 41.1357 b 0 4.18 56.161 -47.154 32.873 80.4715 73.3318
2666 W+ 1 80.4 11.168 47.376 -10.16 94.5336 48.6745 W- 1 80.4 23.732 51.324 -40.64 106.363 56.5452
2667 b 0 4.18 3.67 -28.832 -21.899 36.6305 29.0646 b 0 4.18 69.73 -55.968 -14.001 90.5991 89.413
2668 W+ 1 80.4 48.018 -23.7 9.571 97.0731 53.5483 W- 1 80.4 42.582 -55.3 46.729 116.272 69.7948
2669 b 0 4.18 12.636 -51.543 4.51 53.4244 53.0693 b 0 4.18 35.964 -23.157 85.69 95.864 42.7745
2670 b 0 4.18 -56.772 -13.048 -21.721 62.3104 58.2521 b 0 4.18 -42.828 -80.152 -53.179 105.376 90.8767
2671 b 0 4.18 25.575 -1.026 -35.244 43.7578 25.5956 b 0 4.18 56.925 -33.174 -18.156 68.4696 65.886
2672 W+ 1 80.4 -51.24 5.859 10.234 96.0664 51.5739 W- 1 80.4 -40.26 15.841 49.966 104.08 43.2644
2673 b 0 4.18 -21.582 0.113 -0 21.9834 21.5823 b 0 4.18 -0.218 11.187 -33.1 35.1892 11.1891
2674 b 0 4.18 -9.348 0.685 -1.638 10.3928 9.37306 b 0 4.18 -2.052 13.015 -10.962 17.642 13.1758
2675 W+ 1 80.4 -8.436 -14.671 14.872 83.4969 16.9235 W- 1 80.4 -6.364 -71.629 42.328 115.875 71.9112
2676 W+ 1 80.4 2.915 21.114 36.652 90.8946 21.3143 W- 1 80.4 55.385 57.086 17.248 114.403 79.5381
2677 b 0 4.18 10.479 -5.883 -19.812 23.5458 12.0175 b 0 4.18 39.421 -5.217 -56.388 69.1253 39.7647
2678 tau+ 0 1.77 29.68 5.915 -14.994 33.8207 30.2637 tau- 0 1.77 26.32 39.585 -29.106 55.7674 47.5365
2679 W+ 1 80.4 -11.85 0.038 6.92 81.5627 11.8501 W- 1 80.4 -3.15 3.762 27.68 85.1729 4.90664
2680 W+ 1 80.4 20.916 1.178 16.016 84.6141 20.9491 W- 1 80.4 37.184 1.922 45.584 99.6414 37.2336
2681 b 0 4.18 -70.518 -6.51 14.14 72.3366 70.8178 b 0 4.18 -26.082 -86.49 56.56 106.664 90.3371
2682 b 0 4.18 -4.134 -9.464 6.016 12.6618 10.3275 b 0 4.18 -1.166 -58.136 69.184 90.4713 58.1477
2683 b 0 4.18 -0.323 9.436 46.64 47.7693 9.44153 b 0 4.18 -1.377 24.264 41.36 48.1535 24.303
2684 b 0 4.18 -45.747 2.904 1.775 46.0635 45.8391 b 0 4.18 -43.953 9.196 5.325 45.4121 44.9047
2685 b 0 4.18 23.885 1.965 -0 24.3275 23.9657 b 0 4.18 4.215 11.135 -36.8 38.9033 11.9061
2686 b 0 4.18 -8.673 -13.489 5.42 17.4363 16.0366 b 0 4.18 -9.027 -19.411 48.78 53.4344 21.4073
2687 b 0 4.18 64.07 -0.753 -8.606 64.7848 64.0744 b 0 4.18 10.43 -74.547 -57.594 94.8714 75.2731
2688 W+ 1 80.4 -10.89 7.44 18.515 83.5518 13.1888 W- 1 80.4 -61.71 4.56 61.985 118.892 61.8783
2689 b 0 4.18 -58.536 3.752 10.98 59.8212 58.6561 b 0 4.18 -22.764 43.148 43.92 65.7753 48.7847
2690 W+ 1 80.4 11.816 -1.045 -13.794 82.4327 11.8621 W- 1 80.4 9.284 -8.455 -28.006 86.0591 12.5571
2691 W+ 1 80.4 8.671 -1.408 20.447 83.4231 8.78457 W- 1 80.4 58.029 -0.792 68.453 120.491 58.0344
2692 b 0 4.18 4.032 44.022 20.539 48.9236 44.2063 b 0 4.18 53.568 51.678 23.161 78.0644 74.4322
2693 b 0 4.18 -54.384 -0.567 -7.238 55.0255 54.387 b 0 4.18 -7.416 -56.133 -58.562 81.5653 56.6208
2694 b 0 4.18 -1.184 -8.362 4.628 10.4984 8.44541 b 0 4.18 -2.016 -14.238 13.172 19.9439 14.38
2695 b 0 4.18 93.896 -2.1 0 94.0125 93.9195 b 0 4.18 2.904 -67.9 70.6 98.085 67.9621
2696 b 0 4.18 -22.88 -31.04 1.91 38.8342 38.5613 b 0 4.18 -65.12 -17.46 17.19 69.7025 67.4201
2697 b 0 4.18 11.04 52.24 0 53.5572 53.3938 b 0 4.18 44.16 13.06 71.2 84.8975 46.0507
2698 b 0 4.18 -41.42 -1.396 -2.088 41.7061 41.4435 b 0 4.18 -2.18 -68.404 -67.512 96.2247 68.4387
2699 W+ 1 80.4 -12.32 -46.09 -12.766 94.3568 47.7082 W- 1 80.4 -26.18 -37.71 -85.434 125.978 45.9068
2700 W+ 1 80.4 -0.108 -0.041 3.078 80.459 0.115521 W- 1 80.4 -5.292 -0.059 2.322 80.6074 5.29233
2701 b 0 4.18 -4.824 -62.656 -0 62.9803 62.8414 b 0 4.18 -8.576 -35.244 -58.2 68.7052 36.2724
2702 b 0 4.18 63.414 -9.982 -6.816 64.6908 64.1948 b 0 4.18 17.886 -61.318 -78.384 101.199 63.8734
2703 b 0 4.18 39.7 0 -0 39.9194 39.7 b 0 4.18 0 84.1 -27.9 88.7057 84.1
2704 b 0 4.18 -46.179 -14.688 -0.934 48.6475 48.4586 b 0 4.18 -27.121 -26.112 -92.466 99.9241 37.6482
2705 b 0 4.18 19.488 48.756 4.08 52.8304 52.5065 b 0 4.18 61.712 22.944 46.92 80.9553 65.8392
2706 b 0 4.18 3.136 7.56 22.723 24.5111 8.18463 b 0 4.18 3.264 30.24 50.577 59.166 30.4156
2707 b 0 4.18 -36.388 -12.852 -13.82 41.2035 38.5909 b 0 4.18 -46.312 -22.848 -55.28 75.764 51.6414
2708 Z 1 91.2 -33.67 3.372 33.288 102.813 33.8384 Z 1 91.2 -57.33 52.828 25.112 122.579 77.9585
2709 W+ 1 80.4 63.124 -1.067 -2.313 102.251 63.133 W- 1 80.4 10.276 -8.633 -74.787 110.623 13.4211
2710 tau+ 0 1.77 -17.608 3.479 8.091 19.7672 17.9484 tau- 0 1.77 -10.792 46.221 18.009 50.7967 47.4642
2711 W+ 1 80.4 1.488 34.075 -32.782 93.2853 34.1075 W- 1 80.4 7.812 38.425 -55.818 105.439 39.2111
2712 b 0 4.18 2.022 8.268 21.845 23.8144 8.51166 b 0 4.18 65.378 60.632 3.855 89.3468 89.1657
2713 W+ 1 80.4 -66.4 -0.672 7.704 104.561 66.4034 W- 1 80.4 -16.6 -4.928 88.596 120.885 17.316
2714 b 0 4.18 26.197 4.069 17.08 31.8125 26.5111 b 0 4.18 12.903 27.231 68.32 74.7871 30.1333
2715 b 0 4.18 32.054 -15.345 1.945 35.8355 35.5377 b 0 4.18 19.646 -31.155 36.955 52.3426 36.832
2716 b 0 4.18 33.774 -30.134 -11.983 47.0086 45.263 b 0 4.18 52.826 -49.166 -40.117 82.6724 72.1657
2717 b 0 4.18 -19.845 13.184 -18.316 30.3412 23.8252 b 0 4.18 -20.655 28.016 -78.084 85.5927 34.807
2718 b 0 4.18 -58.266 18.36 1.668 61.2558 61.0902 b 0 4.18 -16.434 73.44 81.732 111.18 75.2563
2719 b 0 4.18 48.786 4.608 0 49.1811 49.0031 b 0 4.18 3.114 72.192 7.8 72.799 72.2591
2720 b 0 4.18 25.297 0.61 25.056 35.8551 25.3044 b 0 4.18 36.403 60.39 18.144 72.9302 70.5133
2721 b 0 4.18 -36.408 -7.467 -9.92 38.6934 37.1658 b 0 4.18 -52.392 -31.833 -14.88 63.223 61.3047
2722 b 0 4.18 -5.429 5.885 -0 9.03215 8.0067 b 0 4.18 -0.671 47.615 -74.5 88.5176 47.6197
2723 b 0 4.18 12.975 75.544 -6.543 77.0424 76.6502 b 0 4.18 73.525 23.856 -66.157 101.83 77.2983
2724 W+ 1 80.4 7.28 -3.21 -4.58 80.9224 7.95629 W- 1 80.4 3.92 -18.19 -18.32 84.5342 18.6076
2725 b 0 4.18 8.091 -1.038 -0.865 9.20665 8.15731 b 0 4.18 0.609 -50.862 -16.435 53.6181 50.8657
2726 b 0 4.18 0.417 -6.88 -37.446 38.3038 6.89263 b 0 4.18 41.283 -27.52 -9.954 50.7759 49.6149
2727 b 0 4.18 24.388 -15.213 0 29.0462 28.7439 b 0 4.18 12.012 -30.887 35.4 48.6716 33.1405
2728 tau+ 0 1.77 51.626 2.193 1.232 51.7175 51.6726 tau- 0 1.77 10.574 70.907 7.568 72.1112 71.6911
2729 W+ 1 80.4 9.5 5.904 5.358 81.3509 11.1851 W- 1 80.4 15.5 18.696 8.742 84.4415 24.2856
2730 b 0 4.18 0.237 -5.084 -9.396 11.4743 5.08952 b 0 4.18 23.463 -7.316 -6.804 25.8419 24.5772
2731 b 0 4.18 38.376 17.061 -26.908 50.0531 41.9976 b 0 4.18 60.024 34.639 -69.192 98.0191 69.3018
2732 W+ 1 80.4 -7.018 15.276 -18.76 84.2538 16.811 W- 1 80.4 -24.882 24.924 -28.14 92.1756 35.2182
2733 tau+ 0 1.77 12.384 -0.02 -0 12.5099 12.384 tau- 0 1.77 0.516 -0.48 -51.9 51.935 0.704738
2734 W+ 1 80.4 -8.113 -7.285 29.308 86.2671 10.9038 W- 1 80.4 -34.587 -8.215 56.892 104.712 35.5492
2735 tau+ 0 1.77 -42.121 -4.36 -8.987 43.3254 42.3461 tau- 0 1.77 -15.579 -50.14 -38.313 65.0211 52.5045
2736 W+ 1 80.4 -0.092 8.944 -17.136 82.691 8.94447 W- 1 80.4 -0.308 11.856 -33.264 87.8141 11.86
2737 b 0 4.18 1.014 5.253 -7.11 9.8309 5.34997 b 0 4.18 1.586 5.047 -63.99 64.3442 5.29033
2738 W+ 1 80.4 -27.027 -19.032 0.35 86.9308 33.0556 W- 1 80.4 -42.273 -54.168 0.65 105.763 68.7108
2739 b 0 4.18 22.65 31.283 23.258 45.2775 38.6219 b 0 4.18 52.85 45.017 56.942 89.8861 69.4237
2740 W+ 1 80.4 17.688 -23.188 2.484 85.5621 29.1642 W- 1 80.4 9.112 -51.612 80.316 125.147 52.4102
2741 b 0 4.18 -11.025 -5.282 -5.044 13.8696 12.225 b 0 4.18 -11.475 -8.618 -33.756 36.9173 14.3508
2742 b 0 4.18 -41.565 3.85 -0.862 41.9605 41.7429 b 0 4.18 -7.335 23.65 -85.338 88.956 24.7614
2743 b 0 4.18 -45.108 7.365 0.896 45.9048 45.7053 b 0 4.18 -8.592 41.735 88.704 98.4962 42.6102
2744 b 0 4.18 -32.433 -4.959 -3.624 33.2731 32.8099 b 0 4.18 -24.467 -21.141 -11.476 34.5651 32.3354
2745 b 0 4.18 70.892 9.375 6.974 71.97 71.5092 b 0 4.18 24.908 53.125 56.426 81.511 58.6743
2746 b 0 4.18 4.75 -6.3 -3.444 9.57006 7.89003 b 0 4.18 14.25 -3.7 -25.256 29.5312 14.7225
2747 b 0 4.18 -14.507 3.096 -2.289 15.5804 14.8337 b 0 4.18 -1.793 35.604 -74.011 82.2555 35.6491
2748 W+ 1 80.4 -1.35 0.177 2.915 80.4643 1.36155 W- 1 80.4 -3.15 0.123 23.585 83.8472 3.1524
2749 b 0 4.18 -18.616 20.229 5.085 28.2683 27.4912 b 0 4.18 -17.184 41.071 28.815 53.1967 44.521
2750 b 0 4.18 -6.174 -5.892 12.519 15.7172 8.53428 b 0 4.18 -6.426 -43.208 19.581 48.0532 43.6832
2751 b 0 4.18 -41.622 25.14 -8.456 49.5317 48.6252 b 0 4.18 -57.478 58.66 -21.744 85.0587 82.1262
2752 tau+ 0 1.77 -55.912 -0.85 -14.43 57.7774 55.9185 tau- 0 1.77 -40.488 -16.15 -24.57 50.0691 43.5901
2753 b 0 4.18 -20.013 14.848 -23.218 34.3152 24.9195 b 0 4.18 -75.287 31.552 -26.182 85.8291 81.6313
2754 b 0 4.18 -5.888 26.52 15.6 31.604 27.1658 b 0 4.18 -67.712 39.78 14.4 79.9512 78.5326
2755 b 0 4.18 12.9 -17.332 -8.323 23.5277 21.6057 b 0 4.18 17.1 -44.568 -20.377 52.0712 47.7359
2756 b 0 4.18 -6.183 5.773 9.95 13.7125 8.45914 b 0 4.18 -16.717 19.327 9.95 27.7392 25.5537
2757 W+ 1 80.4 3.916 -4.466 -3.912 80.714 5.93971 W- 1 80.4 0.484 -59.334 -93.888 137.113 59.336
2758 W+ 1 80.4 8.164 15.867 -4.564 82.4827 17.8441 W- 1 80.4 7.536 22.833 -60.636 103.533 24.0445
2759 b 0 4.18 16.872 7.337 47.775 51.3655 18.3983 b 0 4.18 53.428 59.363 25.725 84.0105 79.8656
2760 tau+ 0 1.77 27.391 12.375 5.856 30.673 30.0567 tau- 0 1.77 28.509 15.125 91.744 97.2709 32.2727
2761 W+ 1 80.4 41.37 13.727 -3.738 91.5316 43.5879 W- 1 80.4 57.13 23.373 -14.062 102.333 61.7263
2762 b 0 4.18 -12.195 20.355 27.584 36.625 23.7285 b 0 4.18 -14.905 68.145 58.616 91.2097 69.756
2763 b 0 4.18 5.094 15.678 -17.673 24.5266 16.4848 b 0 4.18 23.206 24.522 -23.427 41.3055 33.7616
2764 b 0 4.18 20.387 2.16 -52.364 56.3893 20.5011 b 0 4.18 49.913 9.84 -46.436 69.0066 50.8737
2765 W+ 1 80.4 -3.828 -9.808 -6.408 81.3392 10.5286 W- 1 80.4 -28.072 -51.492 -2.492 99.5481 58.6469
2766 b 0 4.18 -13.86 -0.116 -4.446 15.1444 13.8605 b 0 4.18 -28.14 -0.284 -7.254 29.3604 28.1414
2767 W+ 1 80.4 -1.372 8.613 -36.411 88.6904 8.72159 W- 1 80.4 -8.428 17.487 -32.289 88.7894 19.412
2768 tau+ 0 1.77 -21.792 40.176 -4.128 45.9258 45.7056 tau- 0 1.77 -46.308 24.624 -64.672 83.2849 52.4478
2769 b 0 4.18 15.73 13.026 19.39 28.4702 20.4233 b 0 4.18 44.77 20.374 36.01 61.1036 49.1879
2770 W+ 1 80.4 17.388 2.421 -6.468 82.5482 17.5557 W- 1 80.4 7.812 78.279 -16.632 113.708 78.6678
2771 b 0 4.18 -2.919 63.58 -2.688 63.8407 63.647 b 0 4.18 -94.381 11.22 -19.712 97.1581 95.0456
2772 b 0 4.18 8.788 -7.808 -3.276 12.8996 11.7556 b 0 4.18 25.012 -16.592 -4.524 30.6404 30.0149
2773 b 0 4.18 -45.087 -4.264 -0.13 45.4809 45.2882 b 0 4.18 -34.013 -6.136 -6.37 35.3919 34.562
2774 W+ 1 80.4 -12.307 29.679 -11.88 87.3934 32.1295 W- 1 80.4 -27.393 46.421 -27.72 100.687 53.9007
2775 b 0 4.18 -10.791 -0.017 0 11.5723 10.791 b 0 4.18 -0.109 -1.683 88.9 89.0142 1.68653
2776 b 0 4.18 28.512 2.625 9.322 30.4006 28.6326 b 0 4.18 50.688 49.875 6.478 71.5278 71.1111
2777 b 0 4.18 -32.76 5.411 -13.185 35.9696 33.2039 b 0 4.18 -9.24 71.889 -74.715 104.179 72.4804
2778 W+ 1 80.4 -12.871 34.51 0.968 88.4404 36.8321 W- 1 80.4 -8.229 64.09 23.232 105.731 64.6161
2779 b 0 4.18 8.65 57.05 4.32 58.0143 57.702 b 0 4.18 25.95 24.45 82.08 89.5869 35.654
2780 b 0 4.18 -73.492 4.515 -0.213 73.7494 73.6306 b 0 4.18 -23.208 16.985 -6.887 29.8664 28.7594
2781 b 0 4.18 29.128 -3.33 1.906 29.6755 29.3177 b 0 4.18 3.972 -29.97 93.394 98.2542 30.2321
2782 b 0 4.18 -18.262 -52.479 -1.876 55.7543 55.5657 b 0 4.18 -61.138 -30.821 -11.524 69.5562 68.4674
2783 tau+ 0 1.77 -13.407 0.815 -0.972 13.5827 13.4317 tau- 0 1.77 -19.293 15.485 -0.828 24.8158 24.7387
2784 tau+ 0 1.77 -41.286 -1.364 -35.676 54.6105 41.3085 tau- 0 1.77 -57.014 -4.836 -63.424 85.4384 57.2187
2785 b 0 4.18 40.572 7.124 22.5 47.1228 41.1927 b 0 4.18 42.228 20.276 67.5 82.2681 46.8436
2786 b 0 4.18 13.69 5.104 -3.416 15.5759 14.6105 b 0 4.18 4.81 18.096 -81.984 84.1989 18.7244
2787 b 0 4.18 -5.376 -16.583 -27.72 33.0116 17.4326 b 0 4.18 -71.424 -55.517 -11.88 91.3353 90.4628
2788 b 0 4.18 -54.846 0.631 -0 55.0087 54.8496 b 0 4.18 -0.554001 62.469 -85.8 106.216 62.4715
2789 b 0 4.18 1.948 -19.764 -23.288 30.8904 19.8598 b 0 4.18 95.452 -53.436 -9.512 109.884 109.391
2790 b 0 4.18 -13.28 -25.498 4.136 29.3443 28.749 b 0 4.18 -19.92 -41.602 14.664 48.5802 46.1252
2791 b 0 4.18 -64.804 -0.264 -14.259 66.4862 64.8045 b 0 4.18 -30.496 -2.136 -53.641 61.8821 30.5707
2792 tau+ 0 1.77 -20.35 0.255 1.04 20.4549 20.3516 tau- 0 1.77 -16.65 4.845 1.56 17.5004 17.3406
2793 b 0 4.18 -63.747 5.7 0 64.1377 64.0013 b 0 4.18 -14.953 24.3 96.8 101.004 28.5321
2794 W+ 1 80.4 -81.99 0.486 -0.866 114.837 81.9914 W- 1 80.4 -9.11 4.914 -85.734 117.99 10.3508
2795 b 0 4.18 0.81 -11.229 34.119 36.1708 11.2582 b 0 4.18 1.89 -47.871 32.781 58.2003 47.9083
2796 b 0 4.18 48.618 8.008 -8.445 50.166 49.2731 b 0 4.18 17.082 64.792 -47.855 82.4462 67.006
2797 b 0 4.18 -56.52 -0.291 -4.844 56.8817 56.5208 b 0 4.18 -6.28 -9.409 -64.356 65.4762 11.3123
2798 b 0 4.18 7.35 0.27 -15.81 17.9311 7.35496 b 0 4.18 66.15 5.13 -2.79 66.5387 66.3486
2799 b 0 4.18 59.865 21.25 3 63.7327 63.5246 b 0 4.18 32.235 63.75 27 76.4829 71.4364
2800 W+ 1 80.4 23.76 19.82 1.96 86.1706 30.9414 W- 1 80.4 15.84 79.28 7.84 114.288 80.8469
2801 b 0 4.18 -22.278 -14.688 -9.367 28.5878 26.6842 b 0 4.18 -25.122 -28.512 -39.933 55.2826 38.0006
2802 b 0 4.18 -17.182 -1.215 -60.795 63.3262 17.2249 b 0 4.18 -60.918 -6.885 -35.705 71.0685 61.3058
2803 W+ 1 80.4 -38.848 3.564 2.793 89.4082 39.0111 W- 1 80.4 -21.852 7.236 90.307 123.083 23.0189
2804 b 0 4.18 20.838 0.51 26.064 33.6346 20.8442 b 0 4.18 24.462 7.99 28.236 38.4314 25.7338
2805 tau+ 0 1.77 46.846 7.953 -1.2 47.5644 47.5163 tau- 0 1.77 32.554 16.147 -13.8 38.9109 36.3385
2806 b 0 4.18 -97.7 0 -0 97.7894 97.7 b 0 4.18 0 53.6 -67 85.9036 53.6
2807 W+ 1 80.4 -6.15 -0.986 3.479 80.7159 6.22854 W- 1 80.4 -6.15 -97.614 3.621 126.663 97.8075
2808 b 0 4.18 5.21 6.116 -44.608 45.5181 8.03427 b 0 4.18 46.89 21.684 -20.992 55.9196 51.6611
2809 tau+ 0 1.77 76.921 -0.297 0 76.9419 76.9216 tau- 0 1.77 2.379 -9.603 35.7 37.0877 9.89329
2810 b 0 4.18 0.525 32.095 -32.692 46.0066 32.0993 b 0 4.18 6.975 33.405 -41.608 53.9745 34.1254
2811 tau+ 0 1.77 2.037 -4.56 74.545 74.7331 4.99429 tau- 0 1.77 65.863 -33.44 13.155 75.049 73.8659
2812 b 0 4.18 57.2 -3.752 1.512 57.495 57.3229 b 0 4.18 14.3 -43.148 11.088 46.9751 45.4559
2813 b 0 4.18 -22.176 -6.705 -0.195 23.5424 23.1675 b 0 4.18 -4.224 -37.995 -19.305 43.0304 38.2291
2814 b 0 4.18 -0.96 5.576 14.26 15.9007 5.65804 b 0 4.18 -0.64 27.224 47.74 55.1193 27.2315
2815 b 0 4.18 8.68 38.454 -4.64 39.9131 39.4215 b 0 4.18 6.82 60.146 -88.16 107.022 60.5314
2816 b 0 4.18 1.236 -16.642 24.75 30.1416 16.6878 b 0 4.18 60.564 -14.758 30.25 69.4142 62.3362
2817 W+ 1 80.4 -0.294 74.536 11.776 110.266 74.5366 W- 1 80.4 -3.906 22.264 61.824 103.91 22.604
2818 b 0 4.18 26.992 -12.88 17.92 35.115 29.9076 b 0 4.18 69.408 -67.62 14.08 98.0084 96.9017
2819 W+ 1 80.4 2.44 -14.004 -48.144 94.7843 14.215 W- 1 80.4 46.36 -24.896 -33.456 101.747 52.6219
2820 b 0 4.18 21.9 -7.56 4.941 24.0551 23.1682 b 0 4.18 65.7 -46.44 3.159 80.6264 80.456
2821 b 0 4.18 9.66 -33.046 -3.842 34.8939 34.429 b 0 4.18 13.34 -47.554 -18.758 52.9969 49.3897
2822 W+ 1 80.4 -24.531 0 -0.116 84.0592 24.531 W- 1 80.4 -41.769 0 -0.284 90.6029 41.769
